doubt_id,text,topic,urgency
DBT000000,"form submission is not updating the database, need to fix this soon",WebDev,Medium
DBT000001,loop runs forever and I don't know why,Loops_Recursion,Low
DBT000002,my sorting algorithm is too slow for large inputs,Algorithms,High
DBT000003,"trying to understand tail recursion vs normal recursion, would like this before the next class",Loops_Recursion,Medium
DBT000004,"hi, getting an abstract method error in my subclass please help",OOP_Design,Low
DBT000005,not sure which time complexity my solution actually has,Algorithms,Critical
DBT000006,"hi, git merge conflict i don't know how to resolve, need help asap",Env_Setup,High
DBT000007,getting a null pointer exception i cannot trace,Debugging_Errors,Low
DBT000008,"form submission is not updating the database, deadline is tomorrow",WebDev,High
DBT000009,"hi, confused about when to use inheritance vs composition",OOP_Design,High
DBT000010,"hi, getting an abstract method error in my subclass, would like this before the next class",OOP_Design,Medium
DBT000011,"dynamic programming table is giving wrong values, would like this before the next class",Algorithms,Medium
DBT000012,"not sure which time complexity my solution actually has, need to fix this soon",Algorithms,Low
DBT000013,git merge conflict i don't know how to resolve please help,Env_Setup,Medium
DBT000014,"grade for the last assignment has not appeared yet, just curious",Deadline_Admin,Low
DBT000015,"hi, cannot install the required package on my laptop, autograder is down and deadline is in minutes",Env_Setup,Critical
DBT000016,"hi, my sql join is returning duplicate rows",Databases,Medium
DBT000017,"stack trace points to a line that looks fine to me, need to fix this soon",Debugging_Errors,Medium
DBT000018,segmentation fault when i run the test suite,Debugging_Errors,Medium
DBT000019,cors error when calling the backend from the frontend,WebDev,Low
DBT000020,my code throws an error only on the grading server not locally please help,Debugging_Errors,Low
DBT000021,"index out of bounds error only on the last test case, would like this before the next class",Debugging_Errors,Medium
DBT000022,"not sure how to normalize this schema for the project, whenever you get a chance",Databases,Low
DBT000023,"not sure how polymorphism applies to this assignment, need help asap",OOP_Design,High
DBT000024,dynamic programming table is giving wrong values,Algorithms,Medium
DBT000025,"react component re-renders infinitely, for future reference",WebDev,Low
DBT000026,"submission portal is not accepting my file before the deadline, exam is happening right now",Deadline_Admin,Critical
DBT000027,query is extremely slow on the test dataset,Databases,Low
DBT000028,my sorting algorithm is too slow for large inputs please help,Algorithms,Low
DBT000029,"greedy approach fails on this specific test case, would like this before the next class",Algorithms,Medium
DBT000030,"form submission is not updating the database, this is blocking my progress",WebDev,High
DBT000031,"hi, loop runs forever and I don't know why, just curious",Loops_Recursion,Low
DBT000032,"hi, not sure which time complexity my solution actually has, would like this before the next class",Algorithms,Medium
DBT000033,"git merge conflict i don't know how to resolve, whenever you get a chance",Env_Setup,Low
DBT000034,"form submission is not updating the database, would like this before the next class",WebDev,Medium
DBT000035,"foreign key constraint fails on insert, this is blocking my progress",Databases,High
DBT000036,"getting an abstract method error in my subclass, would like this before the next class",OOP_Design,Medium
DBT000037,"hi, confused about when to use inheritance vs composition, would like this before the next class",OOP_Design,Medium
DBT000038,"virtual environment not activating on windows, would like this before the next class please help",Env_Setup,Medium
DBT000039,"hi, my class diagram doesn't match the actual code structure, need to fix this soon",OOP_Design,Medium
DBT000040,"exam is in two hours and autograder is down, submission is due in one hour",Deadline_Admin,Critical
DBT000041,"index out of bounds error only on the last test case, this is blocking my progress",Debugging_Errors,High
